input_idea,input_features,input_stack,success,generation_time_seconds
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","articles, collections, search, permissions, analytics, insights, localization, versions",vue django channels postgres,1,26.55
Landing page generator,"tasks, reminders",vue django,1,8.8
"End-to-end CRM with email automation, lead scoring, and reporting dashboards for remote teams","articles, collections, search, permissions, analytics, insights, localization, versions",vue django channels postgres,0,38.35
Habit tracker,"tasks, reminders",react express,1,11.63
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",react nestjs kafka postgres redis,1,31.88
Notes app,"income, expenses, categories",react fastapi,1,12.42
"End-to-end CRM with email automation, lead scoring, and reporting dashboards for remote teams","articles, collections, search, permissions, analytics, insights, localization, versions",nextjs node redis postgres,0,40.96
Simple todo app,"links, clicks, stats",react express,1,8.14
URL shortener,"projects, tickets, comments",vue django,1,8.01
Issue tracker,"contacts, notes",react express,1,14.36
Landing page generator,"links, clicks, stats",vue django,1,11.65
"AI-powered knowledge base with semantic search, analytics, and multi-language support","products, inventory, carts, orders, payments, refunds, reviews, recommendations",react nestjs kafka postgres redis,1,35.43
Portfolio website,"tasks, reminders",nextjs node,1,5.66
URL shortener,"projects, tickets, comments",react express,1,8.16
Portfolio website,"tasks, reminders",react fastapi,1,5.59
"AI-powered knowledge base with semantic search, analytics, and multi-language support","products, inventory, carts, orders, payments, refunds, reviews, recommendations",react nestjs kafka postgres redis,1,38.36
"AI-powered knowledge base with semantic search, analytics, and multi-language support","contacts, deals, proposals, invoices, emails, reports, workflows, integrations",react nestjs kafka postgres redis,1,37.6
Personal budget tracker,"posts, comments, tags",react fastapi,1,7.22
Contact manager,"links, clicks, stats",svelte flask,1,9.73
"End-to-end CRM with email automation, lead scoring, and reporting dashboards for remote teams","products, inventory, carts, orders, payments, refunds, reviews, recommendations",react fastapi celery postgres redis,0,31.03
URL shortener,"links, clicks, stats",react fastapi,1,10.96
Issue tracker,"links, clicks, stats",react fastapi,0,8.79
Portfolio website,"projects, tickets, comments",react fastapi,1,7.28
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","articles, collections, search, permissions, analytics, insights, localization, versions",react nestjs kafka postgres redis,1,39.62
"End-to-end CRM with email automation, lead scoring, and reporting dashboards for remote teams","products, inventory, carts, orders, payments, refunds, reviews, recommendations",vue django channels postgres,1,38.88
Blog platform,"posts, comments, tags",react express,1,7.48
"Project management tool with Gantt charts, kanban boards, time tracking, and reporting","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",react fastapi celery postgres redis,0,30.92
Blog platform,"projects, tickets, comments",nextjs node,1,14.84
Habit tracker,"tasks, reminders",react express,1,5.19
URL shortener,"links, clicks, stats",react fastapi,1,14.45
Habit tracker,"contacts, notes",nextjs node,1,12.76
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","contacts, deals, proposals, invoices, emails, reports, workflows, integrations",vue django channels postgres,1,40.29
"Project management tool with Gantt charts, kanban boards, time tracking, and reporting","articles, collections, search, permissions, analytics, insights, localization, versions",nextjs node redis postgres,1,26.2
"AI-powered knowledge base with semantic search, analytics, and multi-language support","articles, collections, search, permissions, analytics, insights, localization, versions",nextjs node redis postgres,0,41.8
URL shortener,"tasks, reminders",react express,0,10.38
Blog platform,"posts, comments, tags",vue django,1,12.87
Habit tracker,"income, expenses, categories",react fastapi,1,14.7
"Project management tool with Gantt charts, kanban boards, time tracking, and reporting","articles, collections, search, permissions, analytics, insights, localization, versions",react nestjs kafka postgres redis,0,39.87
"Project management tool with Gantt charts, kanban boards, time tracking, and reporting","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",react nestjs kafka postgres redis,0,39.39
Portfolio website,"links, clicks, stats",vue django,1,8.99
"End-to-end CRM with email automation, lead scoring, and reporting dashboards for remote teams","contacts, deals, proposals, invoices, emails, reports, workflows, integrations",vue django channels postgres,1,25.41
"Multi-tenant SaaS platform for freelancers with invoicing, proposals, time tracking, and client portals","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",nextjs node redis postgres,1,42.61
Habit tracker,"income, expenses, categories",react express,1,10.84
"AI-powered knowledge base with semantic search, analytics, and multi-language support","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",react fastapi celery postgres redis,1,39.98
Simple todo app,"income, expenses, categories",vue django,1,11.67
Blog platform,"links, clicks, stats",svelte flask,0,12.49
Simple todo app,"posts, comments, tags",react express,0,14.96
Habit tracker,"income, expenses, categories",react express,1,8.62
Portfolio website,"contacts, notes",vue django,1,5.25
"Multi-tenant SaaS platform for freelancers with invoicing, proposals, time tracking, and client portals","articles, collections, search, permissions, analytics, insights, localization, versions",nextjs node redis postgres,0,28.36
"AI-powered knowledge base with semantic search, analytics, and multi-language support","workspaces, projects, tasks, sprints, timelines, dependencies, reports, alerts",nextjs node redis postgres,0,32.58
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","products, inventory, carts, orders, payments, refunds, reviews, recommendations",nextjs node redis postgres,1,42.86
Personal budget tracker,"tasks, reminders",nextjs node,1,6.4
"AI-powered knowledge base with semantic search, analytics, and multi-language support","articles, collections, search, permissions, analytics, insights, localization, versions",react nestjs kafka postgres redis,1,44.31
Blog platform,"contacts, notes",vue django,1,5.91
"E-commerce marketplace with real-time inventory sync, personalized recommendations, and analytics","products, inventory, carts, orders, payments, refunds, reviews, recommendations",nextjs node redis postgres,1,35.68
URL shortener,"contacts, notes",nextjs node,1,13.74
Blog platform,"tasks, reminders",vue django,1,6.58
URL shortener,"contacts, notes",react fastapi,1,9.31
Simple todo app,"tasks, reminders",vue django,1,12.92
Simple todo app,"tasks, reminders",svelte flask,1,5.44
Contact manager,"tasks, reminders",vue django,1,14.42
Notes app,"tasks, reminders",react express,1,6.86
Issue tracker,"tasks, reminders",nextjs node,0,12.62
